French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
demande,request
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
arrivé,come
bébé,baby
longtemps,long time
heures,hours
revoir,meet again
place,square
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
donner,give
type,type
leurs,their
donné,given
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
enfant,child
point,point
venu,came
suite,after
pardon,sorry
devant,in front of
minutes,minutes
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
